Stations = {
  <"POGO", 1, 13>,  // station name, station id, number of antennas
  <"200A",6,3960,11251,15660>,
  <"200A",8,3960,11251,15660>,
  <"200B",1,3060,10773,14760>,
  <"200B",11,3060,10773,14760>,
  <"200B",13,3060,10773,14760>,
  <"200B",5,3060,10773,14760>,
  <"200B",6,3060,10773,14760>,
  <"200B",8,3060,10773,14760>,
  <"201",5,4080,829,8880>,
  <"201",6,4080,829,8880>,
  <"201",8,4080,829,8880>,
  <"201A",5,6060,959,10860>,
  <"201A",6,6060,959,10860>,
  <"201A",8,6060,959,10860>,
  <"201B",5,7620,1117,12420>,
  <"201B",6,7620,1117,12420>,
  <"201B",8,7620,1117,12420>,
  <"202",10,1440,1241,4740>,
  <"202",6,1440,1241,4740>,
  <"202",9,1440,1241,4740>,
  <"202A",10,3720,1100,7020>,
  <"202A",6,3720,1100,7020>,
  <"202A",9,3720,1100,7020>,
  <"202B",10,4740,1295,8040>,
  <"202B",6,4740,1295,8040>,
  <"202B",9,4740,1295,8040>,
  <"203",1,2400,680,7200>,
  <"203",10,2400,680,7200>,
  <"203",5,2400,680,7200>,
  <"203",6,2400,680,7200>,
  <"203",8,2400,680,7200>,
  <"203A",1,3480,803,8280>,
  <"203A",10,3480,803,8280>,
  <"203A",5,3480,803,8280>,
  <"203A",6,3480,803,8280>,
  <"203A",8,3480,803,8280>,
  <"203B",1,2820,752,7620>,
  <"203B",10,2820,752,7620>,
  <"203B",5,2820,752,7620>,
  <"203B",6,2820,752,7620>,
  <"203B",8,2820,752,7620>,
  <"204",7,2400,1258,9300>,
  <"204",9,2400,1258,9300>,
  <"204A",7,2700,1008,9600>,
  <"204A",9,2700,1008,9600>,
  <"204B",7,2880,1327,9780>,
  <"204B",9,2880,1327,9780>,
  <"205",7,4800,1538,9000>,
  <"205",9,4800,1538,9000>,
  <"205A",7,7320,2257,11520>,
  <"205A",9,7320,2257,11520>,
  <"205B",7,8340,1629,12540>,
  <"205B",9,8340,1629,12540>,
  <"206",1,4860,994,7860>,
  <"206",2,4860,994,7860>,
  <"206",3,4860,994,7860>,
  <"206",13,4860,994,7860>,
  <"206",5,4860,994,7860>,
  <"206",6,4860,994,7860>,
  <"206",7,4860,994,7860>,
  <"206",8,4860,994,7860>,
  <"206A",1,6780,1026,9780>,
  <"206A",2,6780,1026,9780>,
  <"206A",3,6780,1026,9780>,
  <"206A",13,6780,1026,9780>,
  <"206A",5,6780,1026,9780>,
  <"206A",6,6780,1026,9780>,
  <"206A",7,6780,1026,9780>,
  <"206A",8,6780,1026,9780>,
  <"206B",1,8340,1026,11340>,
  <"206B",2,8340,1026,11340>,
  <"206B",3,8340,1026,11340>,
  <"206B",13,8340,1026,11340>,
  <"206B",5,8340,1026,11340>,
  <"206B",6,8340,1026,11340>,
  <"206B",7,8340,1026,11340>,
  <"206B",8,8340,1026,11340>,
  <"207",7,6180,1401,9180>,
  <"207",9,6180,1401,9180>,
  <"207A",7,6780,991,9780>,
  <"207A",9,6780,991,9780>,
  <"207B",7,8940,1608,11940>,
  <"207B",9,8940,1608,11940>,
  <"208",2,5880,1302,10380>,
  <"208",3,5880,1302,10380>,
  <"208",7,5880,1302,10380>,
  <"208A",2,8640,1483,13140>,
  <"208A",3,8640,1483,13140>,
  <"208A",7,8640,1483,13140>,
  <"208B",2,8400,1400,12900>,
  <"208B",3,8400,1400,12900>,
  <"208B",7,8400,1400,12900>,
  <"209",10,4080,1133,8880>,
  <"209",5,4080,1133,8880>,
  <"209",6,4080,1133,8880>,
  <"209",9,4080,1133,8880>,
  <"209A",10,6660,1123,11460>,
  <"209A",5,6660,1123,11460>,
  <"209A",6,6660,1123,11460>,
  <"209A",9,6660,1123,11460>,
  <"209B",10,7140,667,11940>,
  <"209B",5,7140,667,11940>,
  <"209B",6,7140,667,11940>,
  <"209B",9,7140,667,11940>,
  <"210",6,5580,2524,10080>,
  <"210",9,5580,2524,10080>,
  <"210A",6,6780,3267,11280>,
  <"210A",9,6780,3267,11280>,
  <"210B",6,7020,3402,11520>,
  <"210B",9,7020,3402,11520>,
  <"211",3,4860,1190,9660>,
  <"211",5,4860,1190,9660>,
  <"211",6,4860,1190,9660>,
  <"211",8,4860,1190,9660>,
  <"211A",3,7260,742,12060>,
  <"211A",5,7260,742,12060>,
  <"211A",6,7260,742,12060>,
  <"211A",8,7260,742,12060>,
  <"211B",3,8100,1014,12900>,
  <"211B",5,8100,1014,12900>,
  <"211B",6,8100,1014,12900>,
  <"211B",8,8100,1014,12900>,
  <"212",1,9060,4484,18360>,
  <"212",5,9060,4484,18360>,
  <"212",6,9060,4484,18360>,
  <"212",9,9060,4484,18360>,
  <"212A",1,9480,3018,18780>,
  <"212A",5,9480,3018,18780>,
  <"212A",6,9480,3018,18780>,
  <"212A",9,9480,3018,18780>,
  <"212B",1,10620,4174,19920>,
  <"212B",5,10620,4174,19920>,
  <"212B",6,10620,4174,19920>,
  <"212B",9,10620,4174,19920>,
  <"213",10,7920,725,12720>,
  <"213",6,7920,725,12720>,
  <"213",9,7920,725,12720>,
  <"213A",10,10920,711,15720>,
  <"213A",6,10920,711,15720>,
  <"213A",9,10920,711,15720>,
  <"213B",10,8760,785,13560>,
  <"213B",6,8760,785,13560>,
  <"213B",9,8760,785,13560>,
  <"214",1,6540,1153,9240>,
  <"214",3,6540,1153,9240>,
  <"214",5,6540,1153,9240>,
  <"214",6,6540,1153,9240>,
  <"214",8,6540,1153,9240>,
  <"214A",1,6540,826,9240>,
  <"214A",3,6540,826,9240>,
  <"214A",5,6540,826,9240>,
  <"214A",6,6540,826,9240>,
  <"214A",8,6540,826,9240>,
  <"214B",1,7500,1213,10200>,
  <"214B",3,7500,1213,10200>,
  <"214B",5,7500,1213,10200>,
  <"214B",6,7500,1213,10200>,
  <"214B",8,7500,1213,10200>,
  <"215",1,8820,1322,11520>,
  <"215",2,8820,1322,11820>,
  <"215",3,8820,1322,11820>,
  <"215",11,8820,1322,11820>,
  <"215",13,8820,1322,11820>,
  <"215",5,8820,1322,10860>,
  <"215",7,8820,1322,11820>,
  <"215",8,8820,1322,11820>,
  <"215A",1,11880,1663,14580>,
  <"215A",2,11880,1663,14880>,
  <"215A",3,11880,1663,14880>,
  <"215A",11,11880,1663,14880>,
  <"215A",13,11880,1663,14880>,
  <"215A",5,11880,1663,13920>,
  <"215A",7,11880,1663,14880>,
  <"215A",8,11880,1663,14880>,
  <"215B",1,9120,1778,11820>,
  <"215B",2,9120,1778,12120>,
  <"215B",3,9120,1778,12120>,
  <"215B",11,9120,1778,12120>,
  <"215B",13,9120,1778,12120>,
  <"215B",5,9120,1778,11160>,
  <"215B",7,9120,1778,12120>,
  <"215B",8,9120,1778,12120>,
  <"216",10,7080,940,11580>,
  <"216",5,7080,940,11580>,
  <"216",6,7080,940,11580>,
  <"216A",10,9420,1148,13920>,
  <"216A",5,9420,1148,13920>,
  <"216A",6,9420,1148,13920>,
  <"216B",10,9180,1007,13680>,
  <"216B",5,9180,1007,13680>,
  <"216B",6,9180,1007,13680>,
  <"217",1,7860,2316,21360>,
  <"217",2,7860,2316,15180>,
  <"217",3,7860,2316,20400>,
  <"217",5,7860,2316,21360>,
  <"217",6,7980,2316,21360>,
  <"217",8,7860,2316,21360>,
  <"217A",1,9360,2302,22860>,
  <"217A",2,9360,2302,16680>,
  <"217A",3,9360,2302,21900>,
  <"217A",5,9360,2302,22860>,
  <"217A",6,9480,2302,22860>,
  <"217A",8,9360,2302,22860>,
  <"217B",1,7980,2981,21480>,
  <"217B",2,7980,2981,15300>,
  <"217B",3,7980,2981,20520>,
  <"217B",5,7980,2981,21480>,
  <"217B",6,8100,2981,21480>,
  <"217B",8,7980,2981,21480>,
  <"218",10,7080,1196,10380>,
  <"218",6,7080,1196,10380>,
  <"218",9,7080,1196,10380>,
  <"218A",10,9360,845,12660>,
  <"218A",6,9360,845,12660>,
  <"218A",9,9360,845,12660>,
  <"218B",10,9420,751,12720>,
  <"218B",6,9420,751,12720>,
  <"218B",9,9420,751,12720>,
  <"219",1,8760,997,11460>,
  <"219",3,8760,997,11460>,
  <"219",5,8760,997,11460>,
  <"219",6,8760,997,11460>,
  <"219",8,8760,997,11460>,
  <"219A",1,9060,1017,11760>,
  <"219A",3,9060,1017,11760>,
  <"219A",5,9060,1017,11760>,
  <"219A",6,9060,1017,11760>,
  <"219A",8,9060,1017,11760>,
  <"219B",1,9660,986,12360>,
  <"219B",3,9660,986,12360>,
  <"219B",5,9660,986,12360>,
  <"219B",6,9660,986,12360>,
  <"219B",8,9660,986,12360>,
  <"220",3,8340,1278,12840>,
  <"220",10,8340,1278,12840>,
  <"220",5,8340,1278,12840>,
  <"220",6,8340,1278,12840>,
  <"220",8,8340,1278,12840>,
  <"220A",3,11760,1212,16260>,
  <"220A",10,11760,1212,16260>,
  <"220A",5,11760,1212,16260>,
  <"220A",6,11760,1212,16260>,
  <"220A",8,11760,1212,16260>,
  <"220B",3,9300,832,13800>,
  <"220B",10,9300,832,13800>,
  <"220B",5,9300,832,13800>,
  <"220B",6,9300,832,13800>,
  <"220B",8,9300,832,13800>,
  <"221",6,10140,1215,13740>,
  <"221",9,10140,1215,13740>,
  <"221A",6,12000,1314,15600>,
  <"221A",9,12000,1314,15600>,
  <"221B",6,12360,1373,15960>,
  <"221B",9,12360,1373,15960>,
  <"222",2,7920,1132,12720>,
  <"222",3,7920,1132,12720>,
  <"222",5,7920,1132,12720>,
  <"222",7,7920,1132,12720>,
  <"222",8,7920,1132,12720>,
  <"222A",2,10800,905,15600>,
  <"222A",3,10800,905,15600>,
  <"222A",5,10800,905,15600>,
  <"222A",7,10800,905,15600>,
  <"222A",8,10800,905,15600>,
  <"222B",2,10740,691,15540>,
  <"222B",3,10740,691,15540>,
  <"222B",5,10740,691,15540>,
  <"222B",7,10740,691,15540>,
  <"222B",8,10740,691,15540>,
  <"223",2,9600,746,14400>,
  <"223",3,9600,746,14400>,
  <"223",7,9600,746,14400>,
  <"223A",2,12660,1152,17460>,
  <"223A",3,12660,1152,17460>,
  <"223A",7,12660,1152,17460>,
  <"223B",2,9720,1004,14520>,
  <"223B",3,9720,1004,14520>,
  <"223B",7,9720,1004,14520>,
  <"224",2,10440,1138,17340>,
  <"224",3,10440,1138,17340>,
  <"224",7,10440,1138,17340>,
  <"224",8,10440,1138,17340>,
  <"224A",2,11220,780,18120>,
  <"224A",3,11220,780,18120>,
  <"224A",7,11220,780,18120>,
  <"224A",8,11220,780,18120>,
  <"224B",2,12180,1173,19080>,
  <"224B",3,12180,1173,19080>,
  <"224B",7,12180,1173,19080>,
  <"224B",8,12180,1173,19080>,
  <"225",2,10740,1181,15240>,
  <"225",3,10740,1181,15240>,
  <"225",5,10740,1181,15240>,
  <"225",8,10740,1181,15240>,
  <"225A",2,12780,1403,17280>,
  <"225A",3,12780,1403,17280>,
  <"225A",5,12780,1403,17280>,
  <"225A",8,12780,1403,17280>,
  <"225B",2,11400,948,15900>,
  <"225B",3,11400,948,15900>,
  <"225B",5,11400,948,15900>,
  <"225B",8,11400,948,15900>,
  <"226",7,10380,1616,14280>,
  <"226",9,10380,1616,14280>,
  <"226A",7,12720,1185,16620>,
  <"226A",9,12720,1185,16620>,
  <"226B",7,10740,1192,14640>,
  <"226B",9,10740,1192,14640>,
  <"227",6,12060,1035,15660>,
  <"227",9,12060,1035,15660>,
  <"227A",6,14760,1245,18360>,
  <"227A",9,14760,1245,18360>,
  <"227B",6,14040,1248,17640>,
  <"227B",9,14040,1248,17640>,
  <"228",6,10560,1333,17460>,
  <"228",7,10560,1333,17460>,
  <"228",9,10560,1333,17460>,
  <"228A",6,11880,1252,18780>,
  <"228A",7,11880,1252,18780>,
  <"228A",9,11880,1252,18780>,
  <"228B",6,11640,1327,18540>,
  <"228B",7,11640,1327,18540>,
  <"228B",9,11640,1327,18540>,
  <"229",1,11760,1163,16560>,
  <"229",10,11760,1163,16560>,
  <"229",5,11760,1163,16560>,
  <"229",6,11760,1163,16560>,
  <"229",8,11760,1163,16560>,
  <"229A",1,12720,641,17520>,
  <"229A",10,12720,641,17520>,
  <"229A",5,12720,641,17520>,
  <"229A",6,12720,641,17520>,
  <"229A",8,12720,641,17520>,
  <"229B",1,12300,1117,17100>,
  <"229B",10,12300,1117,17100>,
  <"229B",5,12300,1117,17100>,
  <"229B",6,12300,1117,17100>,
  <"229B",8,12300,1117,17100>,
  <"230",2,12180,844,16980>,
  <"230",7,12180,844,16980>,
  <"230",9,12180,844,16980>,
  <"230A",2,12480,1154,17280>,
  <"230A",7,12480,1154,17280>,
  <"230A",9,12480,1154,17280>,
  <"230B",2,13380,1123,18180>,
  <"230B",7,13380,1123,18180>,
  <"230B",9,13380,1123,18180>,
  <"231",1,10440,1060,13440>,
  <"231",2,10440,1060,13440>,
  <"231",3,10440,1060,13440>,
  <"231",13,10440,1060,13440>,
  <"231",5,10440,1060,12300>,
  <"231",7,10440,1060,13440>,
  <"231",8,10440,1060,13440>,
  <"231A",1,11100,1092,14100>,
  <"231A",2,11100,1092,14100>,
  <"231A",3,11100,1092,14100>,
  <"231A",13,11100,1092,14100>,
  <"231A",5,11100,1092,12960>,
  <"231A",7,11100,1092,14100>,
  <"231A",8,11100,1092,14100>,
  <"231B",1,12480,1527,15480>,
  <"231B",2,12480,1527,15480>,
  <"231B",3,12480,1527,15480>,
  <"231B",13,12480,1527,15480>,
  <"231B",5,12480,1527,14340>,
  <"231B",7,12480,1527,15480>,
  <"231B",8,12480,1527,15480>,
  <"232",2,13560,1452,16560>,
  <"232",3,13560,1452,16560>,
  <"232",11,13560,1452,16560>,
  <"232",13,13560,1452,16560>,
  <"232",5,13560,1452,16560>,
  <"232",7,13560,1452,16560>,
  <"232",8,13560,1452,16560>,
  <"232A",2,15300,1156,18300>,
  <"232A",3,15300,1156,18300>,
  <"232A",11,15300,1156,18300>,
  <"232A",13,15300,1156,18300>,
  <"232A",5,15300,1156,18300>,
  <"232A",7,15300,1156,18300>,
  <"232A",8,15300,1156,18300>,
  <"232B",2,15480,1070,18480>,
  <"232B",3,15480,1070,18480>,
  <"232B",11,15480,1070,18480>,
  <"232B",13,15480,1070,18480>,
  <"232B",5,15480,1070,18480>,
  <"232B",7,15480,1070,18480>,
  <"232B",8,15480,1070,18480>,
  <"233",2,12660,1089,17160>,
  <"233",3,12660,1089,17160>,
  <"233",10,12660,1089,17160>,
  <"233",7,12660,1089,17160>,
  <"233",8,12660,1089,17160>,
  <"233A",2,15120,1187,19620>,
  <"233A",3,15120,1187,19620>,
  <"233A",10,15120,1187,19620>,
  <"233A",7,15120,1187,19620>,
  <"233A",8,15120,1187,19620>,
  <"233B",2,12780,1290,17280>,
  <"233B",3,12780,1290,17280>,
  <"233B",10,12780,1290,17280>,
  <"233B",7,12780,1290,17280>,
  <"233B",8,12780,1290,17280>,
  <"234",9,11760,2290,15960>,
  <"234A",9,14760,1837,18960>,
  <"234B",9,12000,1620,16200>,
  <"235",1,14520,9041,24240>,
  <"235",11,14520,9041,24240>,
  <"235",6,14520,9041,24240>,
  <"235A",1,15240,6324,24960>,
  <"235A",11,15240,6324,24960>,
  <"235A",6,15240,6324,24960>,
  <"235B",1,15660,8394,25380>,
  <"235B",11,15660,8394,25380>,
  <"235B",6,15660,8394,25380>,
  <"236",10,14460,1335,17760>,
  <"236",6,14460,1335,17760>,
  <"236",9,14460,1335,17760>,
  <"236A",10,14460,1479,17760>,
  <"236A",6,14460,1479,17760>,
  <"236A",9,14460,1479,17760>,
  <"236B",10,15000,1050,18300>,
  <"236B",6,15000,1050,18300>,
  <"236B",9,15000,1050,18300>,
  <"237",11,13680,1212,15180>,
  <"237",6,13680,1212,15180>,
  <"237",7,13680,1212,15180>,
  <"237",9,13680,1212,15180>,
  <"237A",11,14940,1320,16440>,
  <"237A",6,14940,1320,16440>,
  <"237A",7,14940,1320,16440>,
  <"237A",9,14940,1320,16440>,
  <"237B",11,14160,1221,15660>,
  <"237B",6,14160,1221,15660>,
  <"237B",7,14160,1221,15660>,
  <"237B",9,14160,1221,15660>,
  <"238",10,14160,866,18960>,
  <"238",5,14160,866,18960>,
  <"238",6,14160,866,18960>,
  <"238",9,14160,866,18960>,
  <"238A",10,16800,795,21600>,
  <"238A",5,16800,795,21600>,
  <"238A",6,16800,795,21600>,
  <"238A",9,16800,795,21600>,
  <"238B",10,17700,1190,22500>,
  <"238B",5,17700,1190,22500>,
  <"238B",6,17700,1190,22500>,
  <"238B",9,17700,1190,22500>,
  <"239",6,13140,4097,19440>,
  <"239",9,13140,4097,19440>,
  <"239A",6,16200,4162,22500>,
  <"239A",9,16200,4162,22500>,
  <"239B",6,13860,5944,20160>,
  <"239B",9,13860,5944,20160>,
  <"240",11,13440,1028,16440>,
  <"240",6,13560,1028,16440>,
  <"240",9,13980,1028,16440>,
  <"240A",11,15300,1122,18300>,
  <"240A",6,15420,1122,18300>,
  <"240A",9,15840,1122,18300>,
  <"240B",11,15540,1213,18540>,
  <"240B",6,15660,1213,18540>,
  <"240B",9,16080,1213,18540>,
  <"241",5,13860,1019,18360>,
  <"241",6,13860,1019,18360>,
  <"241A",5,15180,762,19680>,
  <"241A",6,15180,762,19680>,
  <"241B",5,15420,807,19920>,
  <"241B",6,15420,807,19920>,
  <"242",6,14160,4453,20760>,
  <"242",9,14160,4453,20760>,
  <"242A",6,16020,4165,22620>,
  <"242A",9,16020,4165,22620>,
  <"242B",6,14820,4993,21420>,
  <"242B",9,14820,4993,21420>,
  <"243",2,15000,2654,19800>,
  <"243",3,15000,2654,19800>,
  <"243",5,15000,2654,19800>,
  <"243",8,15000,2654,19800>,
  <"243A",2,18120,1872,22920>,
  <"243A",3,18120,1872,22920>,
  <"243A",5,18120,1872,22920>,
  <"243A",8,18120,1872,22920>,
  <"243B",2,17280,2605,22080>,
  <"243B",3,17280,2605,22080>,
  <"243B",5,17280,2605,22080>,
  <"243B",8,17280,2605,22080>,
  <"244",1,17640,793,20340>,
  <"244",3,17640,793,20340>,
  <"244",5,17640,793,20340>,
  <"244",6,17640,793,20340>,
  <"244",8,17640,793,20340>,
  <"244A",1,17940,804,20640>,
  <"244A",3,17940,804,20640>,
  <"244A",5,17940,804,20640>,
  <"244A",6,17940,804,20640>,
  <"244A",8,17940,804,20640>,
  <"244B",1,17760,998,20460>,
  <"244B",3,17760,998,20460>,
  <"244B",5,17760,998,20460>,
  <"244B",6,17760,998,20460>,
  <"244B",8,17760,998,20460>,
  <"245",1,15780,2001,23820>,
  <"245",2,15780,2001,29280>,
  <"245",3,15780,2001,29280>,
  <"245",5,15780,2001,27300>,
  <"245",7,15780,2001,21720>,
  <"245",8,15780,2001,29280>,
  <"245A",1,17580,2919,25620>,
  <"245A",2,17580,2919,31080>,
  <"245A",3,17580,2919,31080>,
  <"245A",5,17580,2919,29100>,
  <"245A",7,17580,2919,23520>,
  <"245A",8,17580,2919,31080>,
  <"245B",1,18900,2536,26940>,
  <"245B",2,18900,2536,32400>,
  <"245B",3,18900,2536,32400>,
  <"245B",5,18900,2536,30420>,
  <"245B",7,18900,2536,24840>,
  <"245B",8,18900,2536,32400>,
  <"246",7,17700,924,24600>,
  <"246",9,17700,924,24600>,
  <"246A",7,19080,1289,25980>,
  <"246A",9,19080,1289,25980>,
  <"246B",7,18660,1468,25560>,
  <"246B",9,18660,1468,25560>,
  <"247",6,16860,1257,23760>,
  <"247",9,16860,1257,23760>,
  <"247A",6,17340,1492,24240>,
  <"247A",9,17340,1492,24240>,
  <"247B",6,17940,968,24840>,
  <"247B",9,17940,968,24840>,
  <"248",11,17460,1130,19260>,
  <"248",6,17460,1130,19260>,
  <"248",7,17460,1130,19260>,
  <"248",9,17460,1130,19260>,
  <"248A",11,18360,1332,20160>,
  <"248A",6,18360,1332,20160>,
  <"248A",7,18360,1332,20160>,
  <"248A",9,18360,1332,20160>,
  <"248B",11,18300,1278,20100>,
  <"248B",6,18300,1278,20100>,
  <"248B",7,18300,1278,20100>,
  <"248B",9,18300,1278,20100>,
  <"249",2,18240,912,22740>,
  <"249",3,18240,912,22740>,
  <"249",10,18240,912,22740>,
  <"249",5,18240,912,22740>,
  <"249",8,18240,912,22740>,
  <"249A",2,21420,1214,25920>,
  <"249A",3,21420,1214,25920>,
  <"249A",10,21420,1214,25920>,
  <"249A",5,21420,1214,25920>,
  <"249A",8,21420,1214,25920>,
  <"249B",2,20820,1033,25320>,
  <"249B",3,20820,1033,25320>,
  <"249B",10,20820,1033,25320>,
  <"249B",5,20820,1033,25320>,
  <"249B",8,20820,1033,25320>,
  <"250",1,17220,1077,24120>,
  <"250",5,17220,1077,24120>,
  <"250",6,17220,1077,24120>,
  <"250",8,17220,1077,24120>,
  <"250A",1,17400,819,24300>,
  <"250A",5,17400,819,24300>,
  <"250A",6,17400,819,24300>,
  <"250A",8,17400,819,24300>,
  <"250B",1,19680,1017,26580>,
  <"250B",5,19680,1017,26580>,
  <"250B",6,19680,1017,26580>,
  <"250B",8,19680,1017,26580>,
  <"251",1,17700,5968,29400>,
  <"251",5,17700,5968,29400>,
  <"251",6,17700,5968,29400>,
  <"251",9,17700,5968,29400>,
  <"251A",1,21180,5710,32880>,
  <"251A",5,21180,5710,32880>,
  <"251A",6,21180,5710,32880>,
  <"251A",9,21180,5710,32880>,
  <"251B",1,17880,6109,29580>,
  <"251B",5,17880,6109,29580>,
  <"251B",6,17880,6109,29580>,
  <"251B",9,17880,6109,29580>,
  <"252",2,18420,2744,21720>,
  <"252",3,18420,2744,21720>,
  <"252",5,18420,2744,21720>,
  <"252",8,18420,2744,21720>,
  <"252A",2,21000,2848,24300>,
  <"252A",3,21000,2848,24300>,
  <"252A",5,21000,2848,24300>,
  <"252A",8,21000,2848,24300>,
  <"252B",2,20580,1946,23880>,
  <"252B",3,20580,1946,23880>,
  <"252B",5,20580,1946,23880>,
  <"252B",8,20580,1946,23880>,
  <"253",1,19020,1124,23820>,
  <"253",10,19020,1124,23820>,
  <"253",5,19020,1124,23820>,
  <"253",6,19020,1124,23820>,
  <"253",8,19020,1124,23820>,
  <"253A",1,19380,1061,24180>,
  <"253A",10,19380,1061,24180>,
  <"253A",5,19380,1061,24180>,
  <"253A",6,19380,1061,24180>,
  <"253A",8,19380,1061,24180>,
  <"253B",1,19920,623,24720>,
  <"253B",10,19920,623,24720>,
  <"253B",5,19920,623,24720>,
  <"253B",6,19920,623,24720>,
  <"253B",8,19920,623,24720>,
  <"254",10,19200,1094,22500>,
  <"254",6,19200,1094,22500>,
  <"254",9,19200,1094,22500>,
  <"254A",10,20100,767,23400>,
  <"254A",6,20100,767,23400>,
  <"254A",9,20100,767,23400>,
  <"254B",10,20220,1264,23520>,
  <"254B",6,20220,1264,23520>,
  <"254B",9,20220,1264,23520>,
  <"255",10,18540,861,23040>,
  <"255",6,18540,861,23040>,
  <"255",7,18540,861,23040>,
  <"255",9,18540,861,23040>,
  <"255A",10,19260,1492,23760>,
  <"255A",6,19260,1492,23760>,
  <"255A",7,19260,1492,23760>,
  <"255A",9,19260,1492,23760>,
  <"255B",10,21900,1168,26400>,
  <"255B",6,21900,1168,26400>,
  <"255B",7,21900,1168,26400>,
  <"255B",9,21900,1168,26400>,
  <"256",1,18840,784,24240>,
  <"256",2,18840,784,24240>,
  <"256",3,18840,784,24240>,
  <"256",5,18840,784,24240>,
  <"256",7,18840,784,24240>,
  <"256",8,18840,784,24240>,
  <"256A",1,21780,950,27180>,
  <"256A",2,21780,950,27180>,
  <"256A",3,21780,950,27180>,
  <"256A",5,21780,950,27180>,
  <"256A",7,21780,950,27180>,
  <"256A",8,21780,950,27180>,
  <"256B",1,21720,1408,27120>,
  <"256B",2,21720,1408,27120>,
  <"256B",3,21720,1408,27120>,
  <"256B",5,21720,1408,27120>,
  <"256B",7,21720,1408,27120>,
  <"256B",8,21720,1408,27120>,
  <"257",6,19260,2063,23160>,
  <"257",7,19260,2063,23160>,
  <"257",9,19260,2063,23160>,
  <"257A",6,22500,1444,26400>,
  <"257A",7,22500,1444,26400>,
  <"257A",9,22500,1444,26400>,
  <"257B",6,19560,1099,23460>,
  <"257B",7,19560,1099,23460>,
  <"257B",9,19560,1099,23460>,
  <"258",2,21000,1753,23100>,
  <"258",3,21000,1753,23100>,
  <"258",5,21000,1753,23100>,
  <"258",7,21000,1753,23100>,
  <"258",8,21000,1753,23100>,
  <"258A",2,22800,1712,24900>,
  <"258A",3,22800,1712,24900>,
  <"258A",5,22800,1712,24900>,
  <"258A",7,22800,1712,24900>,
  <"258A",8,22800,1712,24900>,
  <"258B",2,23820,1957,25920>,
  <"258B",3,23820,1957,25920>,
  <"258B",5,23820,1957,25920>,
  <"258B",7,23820,1957,25920>,
  <"258B",8,23820,1957,25920>,
  <"259",1,20820,1933,30720>,
  <"259",2,20820,1933,30720>,
  <"259",3,20820,1933,30720>,
  <"259",5,22260,1933,30720>,
  <"259",6,24300,1933,30300>,
  <"259",7,20820,1933,29820>,
  <"259",8,20820,1933,30720>,
  <"259A",1,21180,1544,31080>,
  <"259A",2,21180,1544,31080>,
  <"259A",3,21180,1544,31080>,
  <"259A",5,22620,1544,31080>,
  <"259A",6,24660,1544,30660>,
  <"259A",7,21180,1544,30180>,
  <"259A",8,21180,1544,31080>,
  <"259B",1,22500,1664,32400>,
  <"259B",2,22500,1664,32400>,
  <"259B",3,22500,1664,32400>,
  <"259B",5,23940,1664,32400>,
  <"259B",6,25980,1664,31980>,
  <"259B",7,22500,1664,31500>,
  <"259B",8,22500,1664,32400>,
  <"260",2,20280,1979,25980>,
  <"260",3,20280,1979,25980>,
  <"260",10,20280,1979,25980>,
  <"260",5,20280,1979,25980>,
  <"260",8,20280,1979,25980>,
  <"260A",2,23760,2653,29460>,
  <"260A",3,23760,2653,29460>,
  <"260A",10,23760,2653,29460>,
  <"260A",5,23760,2653,29460>,
  <"260A",8,23760,2653,29460>,
  <"260B",2,21000,2203,26700>,
  <"260B",3,21000,2203,26700>,
  <"260B",10,21000,2203,26700>,
  <"260B",5,21000,2203,26700>,
  <"260B",8,21000,2203,26700>,
  <"261",1,20940,763,25740>,
  <"261",10,20940,763,25740>,
  <"261",5,20940,763,25740>,
  <"261",6,20940,763,25740>,
  <"261A",1,21540,628,26340>,
  <"261A",10,21540,628,26340>,
  <"261A",5,21540,628,26340>,
  <"261A",6,21540,628,26340>,
  <"261B",1,23820,1140,28620>,
  <"261B",10,23820,1140,28620>,
  <"261B",5,23820,1140,28620>,
  <"261B",6,23820,1140,28620>,
  <"262",2,22140,2649,26940>,
  <"262",3,22140,2649,26940>,
  <"262",7,22140,2649,26940>,
  <"262",8,22140,2649,26940>,
  <"262A",2,25320,2830,30120>,
  <"262A",3,25320,2830,30120>,
  <"262A",7,25320,2830,30120>,
  <"262A",8,25320,2830,30120>,
  <"262B",2,25500,2569,30300>,
  <"262B",3,25500,2569,30300>,
  <"262B",7,25500,2569,30300>,
  <"262B",8,25500,2569,30300>,
  <"263",2,23340,778,28740>,
  <"263",3,23340,778,28740>,
  <"263",7,23340,778,28740>,
  <"263",8,23340,778,28740>,
  <"263A",2,24720,1221,30120>,
  <"263A",3,24720,1221,30120>,
  <"263A",7,24720,1221,30120>,
  <"263A",8,24720,1221,30120>,
  <"263B",2,23580,830,28980>,
  <"263B",3,23580,830,28980>,
  <"263B",7,23580,830,28980>,
  <"263B",8,23580,830,28980>,
  <"264",11,22800,1608,24600>,
  <"264",6,22800,1608,24600>,
  <"264",9,22800,1608,24600>,
  <"264A",11,23880,1793,25680>,
  <"264A",6,23880,1793,25680>,
  <"264A",9,23880,1793,25680>,
  <"264B",11,25080,1241,26880>,
  <"264B",6,25080,1241,26880>,
  <"264B",9,25080,1241,26880>,
  <"265",1,22140,1461,24660>,
  <"265",5,21660,1461,24660>,
  <"265",6,21660,1461,24660>,
